id,label,comment,ancestors,supertypes,subtypes,properties
AutoRental,Auto Rental,A car rental business.,Thing Organization LocalBusiness AutomotiveBusiness,AutomotiveBusiness,,
BodyOfWater,Body of Water,"A body of water, such as a sea, ocean, or lake.",Thing Place Landform,Landform,Canal LakeBodyOfWater OceanBodyOfWater Pond Reservoir RiverBodyOfWater SeaBodyOfWater Waterfall,
NewsArticle,News Article,A news article,Thing CreativeWork Article,Article,,
Country,Country,A country.,Thing Place AdministrativeArea,AdministrativeArea,,
BookFormatType,Book Format Type,The publication format of the book.,Thing Intangible Enumeration,Enumeration,,
Article,Article,"An article, such as a news article or piece of investigative report. Newspapers and magazines have articles of many different types and this is intended to cover them all.",Thing CreativeWork,CreativeWork,BlogPosting NewsArticle ScholarlyArticle,articleBody articleSection
HomeAndConstructionBusiness,Home And Construction Business,A construction business.,Thing Organization LocalBusiness,LocalBusiness,Electrician GeneralContractor HVACBusiness HousePainter Locksmith MovingCompany Plumber RoofingContractor,
ComedyEvent,Comedy Event,Event type: Comedy event.,Thing Event,Event,,
GovernmentOrganization,Government Organization,A governmental organization or agency.,Thing Organization,Organization,,
Plumber,Plumber,A plumbing service.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness ProfessionalService,,
MusicRecording,Music Recording,,Thing CreativeWork,CreativeWork,,byArtist duration inAlbum inPlaylist
HomeGoodsStore,Home Goods Store,A home goods store.,Thing Organization LocalBusiness Store,Store,,
UserInteraction,User Interaction,A user interacting with a page,Thing Event,Event,UserBlocks UserCheckins UserComments UserDownloads UserLikes UserPageVisits UserPlays UserPlusOnes UserTweets,
TouristInformationCenter,Tourist Information Center,A tourist information center.,Thing Organization LocalBusiness,LocalBusiness,,
UserComments,User Comments,User interaction: A comment about an item.,Thing Event UserInteraction,UserInteraction,,
GeneralContractor,General Contractor,A general contractor.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness ProfessionalService,,
AutoRepair,Auto Repair,Car repair business.,Thing Organization LocalBusiness AutomotiveBusiness,AutomotiveBusiness,,
Thing,Thing,The most generic type of item.,,,CreativeWork Event Intangible Organization Person Place Product,description image name url
TennisComplex,Tennis Complex,A tennis complex.,Thing Organization LocalBusiness SportsActivityLocation,SportsActivityLocation,,
EventVenue,Event Venue,An event venue.,Thing Place CivicStructure,CivicStructure,,
Place,Place,"Entities that have a somewhat fixed, physical extension.",Thing,Thing,AdministrativeArea CivicStructure Landform LandmarksOrHistoricalBuildings LocalBusiness Residence TouristAttraction,address aggregateRating containedIn events faxNumber geo interactionCount maps photos reviews telephone
WholesaleStore,Wholesale Store,A wholesale store.,Thing Organization LocalBusiness Store,Store,,
TrainStation,Train Station,A train station.,Thing Place CivicStructure,CivicStructure,,
Hotel,Hotel,A hotel.,Thing Organization LocalBusiness LodgingBusiness,LodgingBusiness,,
WPAdBlock,WP Ad Block,An advertising section of the page.,Thing CreativeWork WebPageElement,WebPageElement,,
AutoBodyShop,Auto Body Shop,Auto body shop.,Thing Organization LocalBusiness AutomotiveBusiness,AutomotiveBusiness,,
HVACBusiness,HVAC Business,An HVAC service.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness,,
BarOrPub,Bar or Pub,A bar or pub.,Thing Organization LocalBusiness FoodEstablishment,FoodEstablishment,,
AutoPartsStore,Auto Parts Store,An auto parts store.,Thing Organization LocalBusiness Store,AutomotiveBusiness Store,,
CollectionPage,Collection Page,Web page type: Collection page.,Thing CreativeWork WebPage,WebPage,ImageGallery VideoGallery,
MotorcycleDealer,Motorcycle Dealer,A motorcycle dealer.,Thing Organization LocalBusiness AutomotiveBusiness,AutomotiveBusiness,,
Reservoir,Reservoir,,Thing Place Landform BodyOfWater,BodyOfWater,,
DefenceEstablishment,Defence Establishment,"A defence establishment, such as an army or navy base.",Thing Place CivicStructure GovernmentBuilding,GovernmentBuilding,,
ApartmentComplex,Apartment Complex,Residence type: Apartment complex.,Thing Place Residence,Residence,,
DanceEvent,Dance Event,Event type: A social dance.,Thing Event,Event,,
Event,Event,An event happening at a certain time at a certain location.,Thing,Thing,BusinessEvent ChildrensEvent ComedyEvent DanceEvent EducationEvent Festival FoodEvent LiteraryEvent MusicEvent SaleEvent SocialEvent SportsEvent TheaterEvent UserInteraction VisualArtsEvent,attendees duration endDate location offers performers startDate subEvents superEvent
AnimalShelter,Animal Shelter,Animal shelter.,Thing Organization LocalBusiness,LocalBusiness,,
Embassy,Embassy,An embassy.,Thing Place CivicStructure GovernmentBuilding,GovernmentBuilding,,
HinduTemple,Hindu Temple,A Hindu temple.,Thing Place CivicStructure PlaceOfWorship,PlaceOfWorship,,
TVSeries,TV Series,A television series.,Thing CreativeWork,CreativeWork,,actors director endDate episodes musicBy numberOfEpisodes producer productionCompany seasons startDate trailer
ContactPage,Contact Page,Web page type: Contact page.,Thing CreativeWork WebPage,WebPage,,
Sculpture,Sculpture,A piece of sculpture.,Thing CreativeWork,CreativeWork,,
ChildCare,Child Care,A Childcare center.,Thing Organization LocalBusiness,LocalBusiness,,
AccountingService,Accounting Service,Accountancy business.,Thing Organization LocalBusiness FinancialService,ProfessionalService FinancialService,,
LiquorStore,Liquor Store,A liquor store.,Thing Organization LocalBusiness Store,Store,,
Continent,Continent,"One of the continents (for example, Europe or Africa).",Thing Place Landform,Landform,,
